Cluster.Number	GeneID	Symbol	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
1	26121	PRPF31	NA	14.961611996932822	NA	10.063251298773311	16.529954181602317	5.290073158423047	NA	NA	12.119754091932364	14.123474801024106	15.334017451303755	NA	26.912638254976194	7.701634409451145	NA	NA	5.466639217895624	3.85399800599626	NA	NA
1	9128	PRPF4	NA	NA	28.780057647863288	6.365811639749963	4.140217649983986	12.763370496602437	NA	NA	13.732073903382991	11.29790121412058	73.86741011528498	100	7.8166260014354165	14.917288479956857	38.27557192957413	28.34573266055902	14.085620978018857	19.206146138047327	18.584508750607252	56.43699031
1	24148	PRPF6	16.87473957540146	20.009050027783722	12.328531039695246	20.128422571969452	18.59740224142803	24.09206745998025	17.096967058167337	10.80651270669807	100	18.858713764924097	7.380237052699388	16.812285396966516	9.46006462420525	23.13284873938543	NA	NA	8.082551120442936	22.611891007076586	16.087507572761744	20.77267746
1	10594	PRPF8	14.480407214929892	13.003123525589071	92.59915149724254	4.742461510378815	76.43790297283394	40.88255597595567	15.896159253616503	14.111525198183177	100	12.315313242123219	17.73784624594079	4.344713611457285	16.965200104576798	2.3479493213434064	NA	27.363425677368987	31.14615583032462	25.612843451297444	34.17854585215506	6.514932519
1	8241	RBM10	NA	NA	NA	NA	6.683778228652247	9.524132033902163	NA	NA	22.46116295402799	4.470980647634929	NA	NA	18.556296584650312	NA	NA	NA	24.329014654056337	9.218803427826655	NA	6.412069591
1	84991	RBM17	NA	NA	10.858379215796655	6.263595413726518	5.883247283824977	8.02949148269683	NA	NA	10.12788427720582	2.0667716122967628	5.195956332517165	12.839256174276704	6.8074042248754765	NA	NA	NA	7.577308040890914	12.493509298918159	13.107031812648994	NA
1	55599	RNPC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.544999488616046	NA	NA
1	51319	RSRC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	9092	SART1	NA	29.81735871563643	5.034582939262853	4.399754059232485	NA	5.193948338225896	NA	NA	4.694057523281883	4.81654157762452	NA	NA	6.40185690334866	NA	NA	NA	12.403778766640873	5.614941937965532	NA	3.686571469
1	8175	SF3A2	NA	NA	14.53694815609802	9.10391121484098	NA	NA	NA	NA	21.712312500578456	22.353218506667655	NA	NA	NA	12.103103025376598	NA	NA	7.6579938520521385	5.441888339388085	NA	NA
1	23451	SF3B1	15.952121726280089	6.295385693258979	9.939742713504215	11.981088126289677	6.081368616361191	4.527659727490977	15.44613886108726	15.832534173067893	10.324710553342992	6.50613208264196	37.47699101840616	12.79508919549894	12.184556809691944	9.234873947613545	NA	NA	9.065672415807718	10.140698906304893	9.001074228361542	10.5373649
1	51639	SF3B14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	10992	SF3B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	23450	SF3B3	74.84466277139386	38.196198589121664	7.315845229476883	18.555404152065442	21.67756018554112	18.796473106725408	100	100	13.77797625066216	32.8289772826975	16.32915888382779	1.7724440214246626	7.446903280141695	19.05782871671758	NA	24.130650231375807	26.499098358808755	19.350108977896177	14.071589333384932	9.370963162
1	10262	SF3B4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	83443	SF3B5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	84138	SLC7A6OS	NA	NA	2.0903232243456213	NA	0.22567557911619202	0.9366224103057892	NA	NA	6.838488024751913	9.001967561959535	NA	NA	NA	NA	NA	NA	NA	NA	5.372923622050005	NA
1	23020	SNRNP200	14.418791106388491	15.227407883834994	19.359892313830017	15.962911234434378	31.26683057520308	25.605550483958893	32.32569997256021	14.26525975345083	28.950610610312527	19.719786197481106	27.60758992040532	22.341558468368312	24.24210752467832	20.73082787206517	5.490340835196949	15.627875960570226	23.387718037933077	35.606987748827144	47.09082291402007	11.4574125
1	11066	SNRNP35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	9410	SNRNP40	6.981188928561567	24.43207331468941	14.335293298345457	10.756498372900634	16.142574307762366	14.552376287186368	NA	17.49301610858767	22.549883529928216	31.44262080441489	3.7178677977881556	NA	9.101626357038445	13.395409079128806	NA	NA	16.96565230092404	11.639939768715504	NA	6.666164133
1	154007	SNRNP48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.921582552383356	NA	NA
1	6626	SNRPA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	6627	SNRPA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	6628	SNRPB	NA	NA	NA	1.4687094194531105	NA	14.111640325616744	NA	NA	2.0412752191759074	0.8802837091454201	6.602267128215615	NA	NA	NA	NA	NA	1.0858078668832705	0.8369863582321736	NA	2.556926686
1	6629	SNRPB2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	6631	SNRPC	NA	NA	NA	NA	NA	NA	NA	2.9197339266957774	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.236671964438875	NA	NA
1	6632	SNRPD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	6633	SNRPD2	11.348607484273899	8.52153402765667	12.505615999504743	7.964718375407588	14.729190653940535	7.397937874798001	18.68225768185889	10.735750891545791	18.082335631090093	6.710890533740885	8.520587872949495	6.459670473469517	15.790939773377062	18.22848721667639	3.675810742869346	9.097966714535733	20.264144604667045	10.627238300378291	10.593696654518899	10.53970795
1	6634	SNRPD3	8.730425554253426	7.99613440846985	7.22088023093597	19.476294770247534	7.232773050524531	12.866632022817033	11.14403540131973	15.361267076492727	48.94032607844912	9.707442585572338	11.674112533818544	20.74343109078429	3.180496919979672	8.309765859599185	3.907108975145057	1.7296105418450534	12.411925565328229	8.733330411237052	10.576444298390124	13.19653615
1	6635	SNRPE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	6636	SNRPF	NA	NA	8.298772384540044	NA	4.480931417437047	3.6527249417152383	13.055408055081468	NA	17.57668871830953	17.74293777235164	7.738586771284294	15.219867648703069	3.900756590180073	NA	NA	NA	8.985875254476525	NA	26.609616551766244	NA
1	6637	SNRPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	6638	SNRPN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	10073	SNUPN	NA	NA	NA	NA	NA	NA	22.57713019553351	NA	NA	NA	NA	NA	29.681971025824247	NA	NA	NA	NA	NA	NA	NA
1	25949	SYF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	24144	TFIP11	NA	NA	18.2988509997672	14.210905741046195	NA	27.047919358018227	NA	NA	16.087938823853488	NA	5.25470773071589	NA	20.65774780588859	NA	NA	NA	16.011739218579095	12.028273461504117	NA	NA
1	96764	TGS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	114034	TOE1	NA	NA	NA	NA	17.426994362785962	21.446339702286956	NA	NA	2.762806082302499	NA	NA	2.5453199811739693	NA	48.86836086855236	NA	NA	22.288574536818267	19.264126041365643	NA	47.51374764
1	10078	TSSC4	NA	NA	NA	10.157740095168618	10.22908251374575	24.80784375610535	NA	NA	NA	NA	27.62047392475241	NA	15.253063063337327	19.931994028353202	NA	NA	30.889183096744063	18.783299770676848	NA	NA
