cluster_no	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
11	0.8488530505498472	0.9148897123345734	0.8929957262486272	0.7033639450824936	0.7208460499793172	0.5474642090159333	0.7780822449745164	0.7664220054130363	0.921168210843782	0.3535777057747158	0.8378027388601725	0.8415707090016035	0.8393202671116871	0.28677479172510106	0.6257487240610793	0.6784714156576672	0.17032443505945163	0.2541408902609481	0.717991231479181	0.8229475739338933
12	0.8488530505498472	0.9148897123345734	0.8929957262486272	0.917299124774718	0.9241362263299522	0.9481812095934117	0.7780822449745164	0.7664220054130363	0.921168210843782	0.8867189092079035	0.8378027388601725	0.8415707090016035	0.8393202671116871	0.9773877283706458	0.6257487240610793	0.6784714156576672	0.8945113050999811	0.9310888989034581	0.9230361778655907	0.9593746164964072
13	0.2778834815289429	0.9148897123345734	0.06205449353324319	0.08875736740208964	0.45654709007930683	0.3141557951896526	0.7780822449745164	0.41900461260942423	0.0942880100562981	0.3535777057747158	0.0985190467984625	0.10200266149144828	0.099905467080145	0.7106973153598926	0.0025577149529072735	0.02429467030379865	0.3722218401096278	0.040280980057942825	0.010037607012696455	0.18679771960059266
14	0.009002903592047126	0.008184160206157145	0.16770019366394215	0.030206754629418995	0.23444415650935924	0.5474642090159333	5.3529290638049e-4	4.363845325595147e-4	0.22668540150721864	0.8867189092079035	0.5345025614153975	0.03151205789094521	0.8393202671116871	0.28677479172510106	0.2520236866540938	0.004698308172347293	0.6491159936588357	0.7392864880797456	0.45295550706960774	0.9593746164964072
15	0.5395674340007968	0.6823601600365308	0.004171465790565733	0.007411784571089276	0.7061627744293169	0.5280218411970764	0.42195473356406565	0.7567715222796026	0.21197458023489388	0.6163458234076317	0.24611482253144715	0.8332323252648458	0.5219708409292041	0.9748717810780915	0.24199272322675905	0.6681527832975156	0.8876947686710603	0.925761054158355	0.7032670245675379	0.5810657502827551
16	0.09286839932756227	0.022204453745339893	0.6143864395475359	0.39839334976075114	0.6908413880208879	0.5081238719799305	0.16048823696290587	0.391028219692403	0.6829736696124253	0.13535088165345294	0.23281184390329598	0.8244562282307403	0.23507028672133895	0.6729122022398332	0.6046996230278467	0.08691714313399479	0.8804387177126966	0.7098402385477787	0.6879090834756323	0.32640501122132426
17	0.024603247464712354	0.0010878317729573906	0.1334764350331245	0.020319061721750666	0.4003509456789721	1.4960335455006107e-4	0.01022961639997112	0.008905610803165698	0.00584321755231234	0.002551938400912115	0.0765937623399971	0.022386206410239005	0.07771376906832575	0.013671123113780787	0.2219960269905604	0.018132255123958076	0.012952532961938627	0.08274549621515075	0.006138259041843241	0.018776911004320836
18	0.8230189657252067	0.6505734217251326	0.8710398697068774	0.65677233180541	0.6748681365882692	0.7456441102060546	0.7483539441682807	0.14006824626134254	0.666918039664874	0.3044843103167288	0.4876901787332949	0.8152195009727242	0.49038469912041505	0.42075951272386225	0.2219960269905604	0.27230218757372737	0.046185288334538666	0.02741312889045859	0.39695238774432484	0.3065576820210685
19	0.07084191424469025	0.14475646961338662	0.009261112732131786	0.1490414285654821	0.16220113880935733	0.09237854913226413	0.0013775437341384405	0.0067986737476406055	0.3533805917579653	0.03246247890222821	6.199489073310567e-4	0.017376157868088646	0.016870569075935288	0.08204943513309373	0.20214623811610374	0.06977198252277544	0.03646267929481704	0.06646443027784553	0.017123120841739455	0.0433240289056261
20	0.20875109401760597	0.6163100421621227	0.853959146992055	0.34260851139592163	0.058771512134979574	0.7135827078613992	0.7263614423331066	0.34799632802785674	0.6328484305480325	0.5495861123498176	0.19382153441965944	0.4614460059211053	0.7927654556217902	0.37389932699974915	0.5708966507710658	0.6234737880959608	0.009534107211913329	0.6605156300824008	0.05766547202972315	0.11800716316535127
21	0.4572805796744611	0.5982348462384116	0.5455273418977501	0.13656154516053887	0.6229234115656472	0.6963178353670478	0.12222640651352455	0.11336784943355781	0.33430798604492773	0.5316705239522379	0.4380514304442462	0.4444988753437815	0.781951097368206	0.8154280213217683	0.19230069827455462	0.06443543938485687	0.2710521245293082	0.36352470896254496	0.6198985597297808	0.2480544428821134
22	0.4572805796744611	0.8715712206862607	0.8445901240146935	0.8746070237449922	0.6229234115656472	0.6963178353670478	0.7146568766778798	0.3334184087995472	0.33430798604492773	0.25573994888639695	0.4380514304442462	0.05964553331822967	0.4406348472697914	0.3503203239156165	0.045620387116659354	0.2375503165806433	0.5489497261360051	0.6426419796099616	0.33952652034433595	0.7366913937575976
23	0.7927818318112853	0.8715712206862607	0.2679787297717633	0.604511855762645	0.3426579533936732	0.4245609147561489	0.348547892633169	0.7022214282704573	0.33430798604492773	0.8370326185677661	0.4380514304442462	0.4444988753437815	0.781951097368206	0.3503203239156165	0.5590014761692927	0.6113978993241826	0.10431356356528998	0.16302553181430804	0.14677541987545292	0.7366913937575976
24	0.43982221065364124	0.12082030306105572	0.25143517372966406	0.5858028129156351	0.3232776961071846	0.07331633752867393	0.029033685259664037	0.10494429845700835	0.3152107945842063	0.23972686891293915	0.051716186131522006	0.4272595018999513	0.1706094606487178	0.32675271322667965	0.18252201086402836	0.2260093247675909	0.5304232193622253	0.3434747912477206	0.6012070904374178	0.09455649848614676
25	0.1694087565384314	0.5601887659100904	0.23505105293197615	0.11297379495745434	0.3038997580149162	0.1747089398878024	0.689729331796463	0.6771286969508656	0.038119597085571305	0.07815633762098617	0.15671926524685612	0.7612369689576185	0.4060265960410354	0.1404143892432156	0.5342175615253726	0.5860767619063473	0.5113856365395137	0.045739025530875006	0.3009863211262481	0.21054979003061808
26	0.012538554541803755	6.400844936651292e-6	0.5080179681679933	0.03560689335817097	0.123540713415919	0.1747089398878024	0.689729331796463	0.09678107830601772	0.0021765455322586783	0.07815633762098617	0.15671926524685612	0.16091313277675554	0.04703089789854881	0.017443946091217973	0.0382667212963642	0.05436122654629048	0.23785855134524456	0.13578233617501784	0.12174937312834926	0.08381550393986982
27	0.4220607854627917	0.03415117717535977	0.08400815707236389	0.286460411319788	0.040208288552824795	0.06467437870318919	0.689729331796463	0.023141391916566202	0.11879043401977457	0.22389323129326028	0.04631030436339953	0.16091313277675554	0.04703089789854881	0.1404143892432156	0.5342175615253726	0.21451191622084165	0.23785855134524456	0.13578233617501784	0.12174937312834926	0.42920818348499346
28	0.4220607854627917	0.28067275511507234	0.8240145624204007	0.286460411319788	0.584862402750941	0.1747089398878024	0.10453742780440892	0.6771286969508656	0.038119597085571305	0.021663578956126583	0.04631030436339953	0.16091313277675554	0.04703089789854881	0.1404143892432156	0.17282130355425301	0.21451191622084165	0.23785855134524456	0.6046852394758295	0.039416808146654686	0.027492213287320984
