cluster_no	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
14	13.88888888888889	16.666666666666664	8.333333333333332	13.88888888888889	8.333333333333332	5.555555555555555	16.666666666666664	16.666666666666664	8.333333333333332	0	2.7777777777777777	11.11111111111111	0	11.11111111111111	2.7777777777777777	11.11111111111111	2.7777777777777777	2.7777777777777777	5.555555555555555	0
15	2.857142857142857	2.857142857142857	17.142857142857142	17.142857142857142	2.857142857142857	5.714285714285714	2.857142857142857	0	8.571428571428571	2.857142857142857	5.714285714285714	0	2.857142857142857	0	2.857142857142857	0	0	0	2.857142857142857	5.714285714285714
16	8.823529411764707	14.705882352941178	2.941176470588235	5.88235294117647	2.941176470588235	5.88235294117647	5.88235294117647	2.941176470588235	2.941176470588235	8.823529411764707	5.88235294117647	0	5.88235294117647	5.88235294117647	0	5.88235294117647	0	2.941176470588235	2.941176470588235	8.823529411764707
17	12.121212121212121	21.21212121212121	9.090909090909092	15.151515151515152	6.0606060606060606	27.27272727272727	12.121212121212121	12.121212121212121	18.181818181818183	18.181818181818183	9.090909090909092	12.121212121212121	9.090909090909092	21.21212121212121	3.0303030303030303	9.090909090909092	15.151515151515152	12.121212121212121	18.181818181818183	18.181818181818183
18	0	3.0303030303030303	0	3.0303030303030303	3.0303030303030303	3.0303030303030303	0	6.0606060606060606	3.0303030303030303	6.0606060606060606	3.0303030303030303	0	3.0303030303030303	9.090909090909092	3.0303030303030303	3.0303030303030303	12.121212121212121	15.151515151515152	6.0606060606060606	9.090909090909092
19	9.67741935483871	9.67741935483871	16.129032258064516	9.67741935483871	9.67741935483871	12.903225806451612	16.129032258064516	12.903225806451612	6.451612903225806	12.903225806451612	19.35483870967742	12.903225806451612	12.903225806451612	16.129032258064516	3.225806451612903	6.451612903225806	12.903225806451612	12.903225806451612	16.129032258064516	16.129032258064516
20	6.451612903225806	3.225806451612903	0	6.451612903225806	12.903225806451612	3.225806451612903	0	3.225806451612903	3.225806451612903	3.225806451612903	6.451612903225806	3.225806451612903	0	9.67741935483871	0	0	16.129032258064516	3.225806451612903	12.903225806451612	12.903225806451612
21	3.3333333333333335	3.3333333333333335	3.3333333333333335	10	3.3333333333333335	3.3333333333333335	6.666666666666667	6.666666666666667	6.666666666666667	3.3333333333333335	3.3333333333333335	3.3333333333333335	0	3.3333333333333335	3.3333333333333335	6.666666666666667	6.666666666666667	6.666666666666667	3.3333333333333335	10
22	3.3333333333333335	0	0	0	3.3333333333333335	3.3333333333333335	0	3.3333333333333335	6.666666666666667	6.666666666666667	3.3333333333333335	10	3.3333333333333335	10	6.666666666666667	3.3333333333333335	3.3333333333333335	3.3333333333333335	6.666666666666667	3.3333333333333335
23	0	0	6.666666666666667	3.3333333333333335	6.666666666666667	6.666666666666667	3.3333333333333335	0	6.666666666666667	0	3.3333333333333335	3.3333333333333335	0	10	0	0	10	10	10	3.3333333333333335
24	3.4482758620689653	10.344827586206897	6.896551724137931	3.4482758620689653	6.896551724137931	13.793103448275861	10.344827586206897	6.896551724137931	6.896551724137931	6.896551724137931	10.344827586206897	3.4482758620689653	6.896551724137931	10.344827586206897	3.4482758620689653	3.4482758620689653	3.4482758620689653	6.896551724137931	3.4482758620689653	13.793103448275861
25	7.142857142857142	3.571428571428571	7.142857142857142	10.714285714285714	7.142857142857142	10.714285714285714	0	0	14.285714285714285	10.714285714285714	7.142857142857142	0	3.571428571428571	14.285714285714285	0	0	3.571428571428571	14.285714285714285	7.142857142857142	10.714285714285714
26	14.285714285714285	32.142857142857146	3.571428571428571	14.285714285714285	10.714285714285714	10.714285714285714	0	7.142857142857142	21.428571428571427	10.714285714285714	7.142857142857142	7.142857142857142	10.714285714285714	21.428571428571427	7.142857142857142	7.142857142857142	7.142857142857142	10.714285714285714	10.714285714285714	14.285714285714285
27	3.571428571428571	14.285714285714285	10.714285714285714	7.142857142857142	14.285714285714285	14.285714285714285	0	10.714285714285714	10.714285714285714	7.142857142857142	10.714285714285714	7.142857142857142	10.714285714285714	14.285714285714285	0	3.571428571428571	7.142857142857142	10.714285714285714	10.714285714285714	7.142857142857142
28	3.571428571428571	7.142857142857142	0	7.142857142857142	3.571428571428571	10.714285714285714	7.142857142857142	0	14.285714285714285	14.285714285714285	10.714285714285714	7.142857142857142	10.714285714285714	14.285714285714285	3.571428571428571	3.571428571428571	7.142857142857142	3.571428571428571	14.285714285714285	17.857142857142858
29	12	24	28.000000000000004	4	16	24	16	8	16	8	12	4	4	32	8	4	12	16	20	20
30	0	0	4.166666666666666	4.166666666666666	0	4.166666666666666	0	0	4.166666666666666	4.166666666666666	4.166666666666666	0	4.166666666666666	4.166666666666666	0	0	12.5	8.333333333333332	0	4.166666666666666
31	8.333333333333332	8.333333333333332	0	8.333333333333332	4.166666666666666	0	8.333333333333332	4.166666666666666	8.333333333333332	4.166666666666666	4.166666666666666	8.333333333333332	4.166666666666666	4.166666666666666	0	0	4.166666666666666	0	0	0
32	4.3478260869565215	8.695652173913043	8.695652173913043	0	17.391304347826086	8.695652173913043	4.3478260869565215	4.3478260869565215	13.043478260869565	8.695652173913043	8.695652173913043	8.695652173913043	4.3478260869565215	17.391304347826086	0	4.3478260869565215	13.043478260869565	21.73913043478261	8.695652173913043	8.695652173913043
33	4.3478260869565215	8.695652173913043	4.3478260869565215	0	4.3478260869565215	13.043478260869565	8.695652173913043	0	4.3478260869565215	8.695652173913043	8.695652173913043	21.73913043478261	0	4.3478260869565215	13.043478260869565	8.695652173913043	4.3478260869565215	4.3478260869565215	4.3478260869565215	4.3478260869565215
34	4.761904761904762	4.761904761904762	0	14.285714285714285	14.285714285714285	14.285714285714285	9.523809523809524	9.523809523809524	4.761904761904762	9.523809523809524	9.523809523809524	4.761904761904762	0	23.809523809523807	9.523809523809524	4.761904761904762	19.047619047619047	14.285714285714285	19.047619047619047	19.047619047619047
35	0	0	0	0	14.285714285714285	4.761904761904762	0	0	0	4.761904761904762	0	0	0	9.523809523809524	0	0	0	9.523809523809524	0	14.285714285714285
36	0	0	4.761904761904762	4.761904761904762	4.761904761904762	4.761904761904762	0	0	4.761904761904762	0	0	4.761904761904762	9.523809523809524	4.761904761904762	0	0	0	0	0	4.761904761904762
37	0	5	0	15	5	5	0	0	10	0	5	0	0	10	0	5	20	15	5	15
38	5	10	0	10	5	15	10	0	0	10	0	0	5	10	0	0	5	10	10	10
39	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	10.526315789473683	10.526315789473683	5.263157894736842	15.789473684210526	26.31578947368421	5.263157894736842	5.263157894736842	0	21.052631578947366	15.789473684210526	10.526315789473683	10.526315789473683	10.526315789473683	21.052631578947366	0	5.263157894736842	15.789473684210526	5.263157894736842	10.526315789473683	15.789473684210526
41	5.263157894736842	10.526315789473683	10.526315789473683	0	10.526315789473683	5.263157894736842	5.263157894736842	0	5.263157894736842	5.263157894736842	5.263157894736842	5.263157894736842	0	15.789473684210526	0	0	10.526315789473683	0	15.789473684210526	5.263157894736842
42	5.263157894736842	5.263157894736842	5.263157894736842	0	5.263157894736842	10.526315789473683	0	5.263157894736842	0	5.263157894736842	0	5.263157894736842	0	5.263157894736842	0	5.263157894736842	15.789473684210526	10.526315789473683	0	5.263157894736842
43	0	0	5.263157894736842	0	0	0	0	0	5.263157894736842	5.263157894736842	0	0	5.263157894736842	5.263157894736842	0	0	0	0	0	5.263157894736842
44	5.263157894736842	0	0	0	0	0	0	0	0	0	5.263157894736842	0	0	0	0	0	0	5.263157894736842	5.263157894736842	0
45	5.555555555555555	0	0	0	11.11111111111111	5.555555555555555	0	0	5.555555555555555	0	5.555555555555555	5.555555555555555	0	0	0	11.11111111111111	5.555555555555555	5.555555555555555	0	5.555555555555555
46	0	0	0	5.555555555555555	5.555555555555555	0	0	0	0	0	0	0	0	0	0	0	0	5.555555555555555	0	0
47	11.11111111111111	16.666666666666664	5.555555555555555	16.666666666666664	5.555555555555555	0	5.555555555555555	0	5.555555555555555	5.555555555555555	5.555555555555555	5.555555555555555	5.555555555555555	16.666666666666664	0	5.555555555555555	5.555555555555555	5.555555555555555	5.555555555555555	22.22222222222222
48	11.11111111111111	11.11111111111111	0	5.555555555555555	33.33333333333333	22.22222222222222	5.555555555555555	5.555555555555555	27.77777777777778	16.666666666666664	33.33333333333333	16.666666666666664	0	22.22222222222222	0	0	22.22222222222222	27.77777777777778	11.11111111111111	27.77777777777778
49	22.22222222222222	22.22222222222222	5.555555555555555	16.666666666666664	0	5.555555555555555	5.555555555555555	11.11111111111111	5.555555555555555	11.11111111111111	11.11111111111111	0	11.11111111111111	11.11111111111111	5.555555555555555	5.555555555555555	11.11111111111111	5.555555555555555	5.555555555555555	16.666666666666664
50	5.555555555555555	5.555555555555555	5.555555555555555	16.666666666666664	11.11111111111111	5.555555555555555	5.555555555555555	5.555555555555555	5.555555555555555	5.555555555555555	0	5.555555555555555	11.11111111111111	16.666666666666664	5.555555555555555	5.555555555555555	5.555555555555555	11.11111111111111	11.11111111111111	11.11111111111111
51	5.88235294117647	0	5.88235294117647	5.88235294117647	0	5.88235294117647	0	5.88235294117647	0	0	11.76470588235294	0	0	5.88235294117647	5.88235294117647	5.88235294117647	0	5.88235294117647	0	0
52	5.88235294117647	0	0	0	0	0	5.88235294117647	5.88235294117647	0	0	0	0	0	5.88235294117647	5.88235294117647	5.88235294117647	5.88235294117647	5.88235294117647	5.88235294117647	11.76470588235294
53	0	0	5.88235294117647	11.76470588235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	0	0	0	0	5.88235294117647	5.88235294117647	0	0	0	0	5.88235294117647	0	0	11.76470588235294	0	5.88235294117647	11.76470588235294	5.88235294117647	0	0
55	5.88235294117647	5.88235294117647	5.88235294117647	5.88235294117647	0	0	5.88235294117647	0	0	0	0	0	0	5.88235294117647	0	5.88235294117647	5.88235294117647	5.88235294117647	5.88235294117647	5.88235294117647
56	0	5.88235294117647	5.88235294117647	0	0	0	0	0	0	0	0	5.88235294117647	0	5.88235294117647	5.88235294117647	11.76470588235294	5.88235294117647	0	0	5.88235294117647
57	0	6.25	0	6.25	0	0	6.25	0	6.25	0	0	0	0	0	0	0	0	0	0	0
58	6.25	6.25	0	6.25	0	0	12.5	6.25	0	6.25	0	0	0	6.25	0	0	0	0	0	6.25
59	18.75	12.5	0	12.5	6.25	6.25	0	0	6.25	0	6.25	12.5	0	6.25	0	6.25	6.25	0	6.25	0
60	6.25	12.5	18.75	12.5	12.5	18.75	0	0	6.25	6.25	12.5	6.25	18.75	18.75	6.25	6.25	12.5	6.25	25	18.75
61	0	0	0	0	0	6.25	6.25	6.25	0	0	6.25	6.25	6.25	12.5	6.25	0	6.25	0	0	0
62	12.5	18.75	0	12.5	12.5	6.25	12.5	18.75	12.5	18.75	6.25	0	18.75	18.75	12.5	0	6.25	18.75	12.5	0
63	6.25	0	0	12.5	6.25	0	0	0	6.25	0	0	6.25	0	12.5	0	0	0	0	0	6.25
64	12.5	12.5	18.75	18.75	12.5	0	18.75	6.25	12.5	18.75	0	0	12.5	12.5	6.25	6.25	6.25	0	6.25	6.25
65	0	6.25	6.25	6.25	6.25	18.75	6.25	6.25	12.5	6.25	6.25	6.25	6.25	25	12.5	6.25	0	6.25	6.25	6.25
66	0	0	0	6.25	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	12.5	0
67	0	0	0	0	0	6.25	0	0	0	0	0	0	0	6.25	0	0	6.25	6.25	0	0
68	12.5	12.5	12.5	6.25	25	12.5	6.25	6.25	6.25	18.75	12.5	25	6.25	12.5	25	18.75	12.5	18.75	12.5	31.25
69	0	0	0	0	6.666666666666667	13.333333333333334	0	0	0	6.666666666666667	0	6.666666666666667	0	0	0	0	6.666666666666667	6.666666666666667	0	0
